;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
no_spp;nama_kebuns;dibayar_kepada;tanggal_spp;no_spk;tgl_spk;tgl_brkhir_spk;no_ba;tgl_ba;tgl_faktur;uraian_spp;nilai_rupiah;tgl_masuk;status pembayaran;DIBAYAR;BELUM DIBAYAR;kategori;jenis dokumen;KATEGORI;NO PO;NO MIRO/SES
5TAN/SPP/35/II/2024;DANAU SALAK;CV Kharisma Karya Jaya;05-Feb-24;;13.01/SP/DASAL/298/VIII/2023;;45167;DASAL/BASTP/131/IX/2023;;Permintaan pembayaran atas Pekerjaan pemeliharaan TBM I Afdeling XII Tanjung Bulan September 2023 di Kebun Danau Salak SP No. 13.01/SP/DASAL/298/VIII/2023 tgl. 29 Agustus 2023;55.378.269;02/07/2024;SUDAH DIBAYAR;55.378.269;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/37/II/2024;DANAU SALAK;Koperasi Karya Lestari;06-Feb-24;;13.01/SP/Dasal/307/IX/2023;;45180;Dasal/BASTP/132/IX/2023;;Permintaan pembayaran atas Pekerjaan Pemeliharaan TBM II di Afdeling VII Gunung Mas Bulan September 2023 di Kebun Danau Salak SP No. 13.01/SP/Dasal/307/IX/2023 tgl. 11 September 2023;10.894.800;02/07/2024;SUDAH DIBAYAR;10.894.800;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/53/II/2024;TAJATI;PT Global Wdya Sinergy;22-Feb-24;;13.01/SP/Tajat/306/IX/2023;;45175;Tajat/BASTPB/36/X/2023;;Permintaan pembayaran atas Sewa Excavator PC 200 untuk pekerjaan penumbangan Pohon dan Merapikan Areal di Afdeling II Areal Bibitan Kebun Tajati SP No. 13.01/SP/Tajat/306/IX/2023 tgl. 06 September 2023;191.999.650;23/02/2024;SUDAH DIBAYAR;191.999.650;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/275/VIII/2023;KANDIR;CV Langit Bumi Khatulistiwa;8 Agu 2023;;;;;;;Permintaan Pembayaran atas Pengadaan Karung Plastik Baru Berbentuk Jaring Kebun Wilayah Kalimantan Timur & Selatan;188.355.900;08/09/2023;SUDAH DIBAYAR;188.355.900;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/334/IX/2023;DANAU SALAK;PT Prakarsa Karya Sejati;21-Sep-23;;;;;;;Permintaan atas Pengadaan Mucuna Bracteata Kebun Danau Salak SP No. 13.01/SP/Dasal/265/VI/2023 tgl. 15 Juni 2023;153.750.000;25/09/2023;SUDAH DIBAYAR;153.750.000;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
13.01/SPP/342/X/2023;KANDIR;PT Prakarsa Karya Sejati;5 Okt 2023;13.01/SP/KBKTKS/139/XI/2022;29/11/2022;;BAPBM/ /XII/2022;28/12/2022;;Permintaan pembayaran atas Pengadaan Barang Mucuna Bracteata Kebun Gunung Emas, Kebun Gunung Meliau, Kebun Sungai Dekan, Kebun Ngabang, Kebun Tabara, dan Kebun Danau Salak;276.000.000;10/10/2023;SUDAH DIBAYAR;276.000.000;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/36/II/2024;DANAU SALAK;Koperasi Karya Lestari;06-Feb-24;;13.01/SP/Dasal/308/IX/2023;;45180;Dasal/BASTP/100/X/2023;;Permintaan pembayaran atas Pekerjaan Bibitan Mucuna Bractata bulan Oktober 2023 di Kebun Danau Salak;117.531.802;02/07/2024;SUDAH DIBAYAR;117.531.802;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/40/II/2024;DANAU SALAK;Koperasi Karya Lestari;06-Feb-24;;13.01/SP/Dasal/307/IX/2023;;45180;Dasal/BASTP/149/X/2023;;Permintaan pembayaran atas pekerjaan pemeliharaan TBM 2 di Afdeling XII Tanjung bulan Oktober 2023 di Kebun Danau Salak SP No. 13.01/SP/Dasal/307/IX/2023 tgl. 11 September 2023;21.141.360;02/07/2024;SUDAH DIBAYAR;21.141.360;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/73/III/2024;DANAU SALAK;PT Sukses Karya Hutani Mandiri;13-Mar-24;;13.01/SPK-IPS/16/X/2022;;44835;Dasal/BASTP/16/I/2024;;Permintaan pembayaran Termin I atas Pekerjaan Pemeliharaan TBM I Kebun Danau Salak SPK No. 13.01/SPK-IPS/16/X/2022;399.496.151;22/03/2024;SUDAH DIBAYAR;399.496.151;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/84/III/2024;DANAU SALAK;CV Kharisma Karya Jaya;19-Mar-24;;13.01/SP/DASAL/298/VIII/2023;;45167;Dasal/BASTP/160/XII/2023;;Permintaan pembayaran atas Pekerjaan Pemel TBM di Afdeling VII, IX, X, XI, XII Kebun Danau Salak SP No. 13.01/SP/DASAL/298/VIII/2023 tgl. 29 Agustus 2023;53.295.433;20/03/2024;SUDAH DIBAYAR;53.295.433;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/120/IV/2024;KANDIR;PT Riset Perkebunan Nusantara PPKS;25-Apr-24;13.01/SP/KBKTKS/245/V/2023;05/08/2023;;;;;Permintaan pembayaran pengadaan Kecambah Kelapa Sawit Wilayah Kalbar, Kaltim, dan Kalsel sebanyak 904.980 Butir;7.239.840.000;05/07/2024;SUDAH DIBAYAR;7.239.840.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/121/IV/2024;KANDIR;PT Riset Perkebunan Nusantara PPKS;25-Apr-24;13.01/SPK-BBT/01/IX/2021;24/09/2021;;;;;Permintaan pembayaran pengadaan Kecambah Kelapa Sawit Wilayah Kalbar, Kaltim, dan Kalsel sebanyak 1.079.184 Butir;7.858.124.800;05/07/2024;SUDAH DIBAYAR;7.858.124.800;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TEP/SPP/204/IV/2024;NGABANG;CV Unitwin Indonesia;23-Apr-24;13.03-AB/SP/102/XI/2023;;;;;;Pembayaran retensi atas penambahan Instalasi Baru Main Nursery Luas 3,3 Ha Kebun Ngabang Kalbar Kontrak No. 13.03-AB/SP/102/XI/2023;13.560.331;24/04/2024;SUDAH DIBAYAR;13.560.331;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/88/III/2024;DANAU SALAK;CV Kharisma Karya Jaya;19-Mar-24;13.01/SP/DASAL/312/IX/2023;18/09/2023;;DASAL/BASTP/168/XII/2023;31/12/2023;;Permintaan pembayaran atas Pekerjaan pemel Pembibitan Main Nursery Kebun Danau Salak SP No. 13.01/SP/DASAL/312/IX/2023 tgl. 18 September 2023;264.596.667;20/03/2024;SUDAH DIBAYAR;264.596.667;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/116/IV/2024;TAJATI;CV Kharisma Jaya;29-Apr-24;13.01/SP/Tajat/320/XI/2023;11/06/2023;;TAJAT/TAN/BA/05/I/2024;31/01/2024;;Permintaan pembayaran atas Pekerjaan pengadaan Jasa Pemeliharaan Pembibitan Main Nursery di Kebun Tajati Tahap I SP No. 13.01/SP/Tajat/320/XI/2023 tgl. 06 November 2023;;05/06/2024;SIAP DIBAYAR;0;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/115/IV/2024;TAJATI;CV Kharisma Jaya;29-Apr-24;13.01/SP/Tajat/320/XI/2023;11/06/2023;;TAJAT/TAN/BA/02/II/2024;29/02/2024;;Permintaan pembayaran atas Pekerjaan Pengadaan Jasa Pemeliharaan Pembibitan Main Nursery di Kebun Tajati Tahap II SP No. 13.01/SP/Tajat/320/XI/2023 tgl. 06 November 2023;;05/06/2024;SIAP DIBAYAR;0;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/86/III/2024;PANDAWA;CV Best Konstruksi Mandiri;28-Feb-24;13.01/SP/Panda/244/V/2023;05/08/2023;PANDA/Tan/BA/01/VIII/2023;;;;Permintaan pembayaran atas Pengadaan Jasa Pembibitan Main Nursery di Kebun Pandawa bulan Agustus 2023 SP No. 13.01/SP/Panda/244/V/2023;128.806.842;22/03/2024;SUDAH DIBAYAR;128.806.842;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/85/III/2024;PANDAWA;CV Best Konstruksi Mandiri;28-Feb-24;13.01/SP/Panda/244/V/2023;05/08/2023;PANDA/Tan/BA/01/VII/2023;;;;Permintaan pembayaran atas Pengadaan Jasa Pembibitan Main Nursery di Kebun Pandawa bulan Juli 2023 SP No. 13.01/SP/Panda/244/V/2023 tgl. 08 Mei 2023;120.551.366;22/03/2024;SUDAH DIBAYAR;120.551.366;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
